image_id,image_path,class_id,class_name,width,height
0001,data/cifar10/test/airplane/0001.png,0,airplane,32,32
0002,data/cifar10/test/airplane/0002.png,0,airplane,32,32
0003,data/cifar10/test/airplane/0003.png,0,airplane,32,32
0004,data/cifar10/test/airplane/0004.png,0,airplane,32,32
0005,data/cifar10/test/airplane/0005.png,0,airplane,32,32
0006,data/cifar10/test/airplane/0006.png,0,airplane,32,32
0007,data/cifar10/test/airplane/0007.png,0,airplane,32,32
0008,data/cifar10/test/airplane/0008.png,0,airplane,32,32
0009,data/cifar10/test/airplane/0009.png,0,airplane,32,32
0010,data/cifar10/test/airplane/0010.png,0,airplane,32,32
0011,data/cifar10/test/airplane/0011.png,0,airplane,32,32
0012,data/cifar10/test/airplane/0012.png,0,airplane,32,32
0013,data/cifar10/test/airplane/0013.png,0,airplane,32,32
0014,data/cifar10/test/airplane/0014.png,0,airplane,32,32
0015,data/cifar10/test/airplane/0015.png,0,airplane,32,32
0016,data/cifar10/test/airplane/0016.png,0,airplane,32,32
0017,data/cifar10/test/airplane/0017.png,0,airplane,32,32
0018,data/cifar10/test/airplane/0018.png,0,airplane,32,32
0019,data/cifar10/test/airplane/0019.png,0,airplane,32,32
0020,data/cifar10/test/airplane/0020.png,0,airplane,32,32
0021,data/cifar10/test/airplane/0021.png,0,airplane,32,32
0022,data/cifar10/test/airplane/0022.png,0,airplane,32,32
0023,data/cifar10/test/airplane/0023.png,0,airplane,32,32
0024,data/cifar10/test/airplane/0024.png,0,airplane,32,32
0025,data/cifar10/test/airplane/0025.png,0,airplane,32,32
0026,data/cifar10/test/airplane/0026.png,0,airplane,32,32
0027,data/cifar10/test/airplane/0027.png,0,airplane,32,32
0028,data/cifar10/test/airplane/0028.png,0,airplane,32,32
0029,data/cifar10/test/airplane/0029.png,0,airplane,32,32
0030,data/cifar10/test/airplane/0030.png,0,airplane,32,32
0031,data/cifar10/test/airplane/0031.png,0,airplane,32,32
0032,data/cifar10/test/airplane/0032.png,0,airplane,32,32
0033,data/cifar10/test/airplane/0033.png,0,airplane,32,32
0034,data/cifar10/test/airplane/0034.png,0,airplane,32,32
0035,data/cifar10/test/airplane/0035.png,0,airplane,32,32
0036,data/cifar10/test/airplane/0036.png,0,airplane,32,32
0037,data/cifar10/test/airplane/0037.png,0,airplane,32,32
0038,data/cifar10/test/airplane/0038.png,0,airplane,32,32
0039,data/cifar10/test/airplane/0039.png,0,airplane,32,32
0040,data/cifar10/test/airplane/0040.png,0,airplane,32,32
0041,data/cifar10/test/airplane/0041.png,0,airplane,32,32
0042,data/cifar10/test/airplane/0042.png,0,airplane,32,32
0043,data/cifar10/test/airplane/0043.png,0,airplane,32,32
0044,data/cifar10/test/airplane/0044.png,0,airplane,32,32
0045,data/cifar10/test/airplane/0045.png,0,airplane,32,32
0046,data/cifar10/test/airplane/0046.png,0,airplane,32,32
0047,data/cifar10/test/airplane/0047.png,0,airplane,32,32
0048,data/cifar10/test/airplane/0048.png,0,airplane,32,32
0049,data/cifar10/test/airplane/0049.png,0,airplane,32,32
0050,data/cifar10/test/airplane/0050.png,0,airplane,32,32
0051,data/cifar10/test/airplane/0051.png,0,airplane,32,32
0052,data/cifar10/test/airplane/0052.png,0,airplane,32,32
0053,data/cifar10/test/airplane/0053.png,0,airplane,32,32
